movieId,user_score,language,budget,revenue
3893,60,English,"$24,000,000.00",-
3894,69,Castilian,-,"$277,035.00"
3895,50,English,"$33,000,000.00",-
3896,63,English,"$8,500,000.00","$19,125,401.00"
3897,75,English,"$60,000,000.00","$47,386,287.00"
3898,57,English,"$35,000,000.00","$15,500,000.00"
3899,50,English,-,"$14,693.00"
3900,59,English,-,"$26,394.00"
3901,57,English,-,-
3906,61,English,"$25,000,000.00","$1,308,242.00"
3908,49,English,"$14,000,000.00","$38,574,362.00"
3909,62,English,"$8,000,000.00","$10,194,274.00"
3910,79,English,"$12,500,000.00","$40,061,153.00"
3911,69,English,-,-
3912,57,English,"$14,000,000.00","$3,200,000.00"
3914,65,English,"$1,000,000.00","$1,744,858.00"
3915,62,English,"$1,000,000.00","$1,700,000.00"
3916,76,English,"$30,000,000.00","$136,700,000.00"
3917,69,English,"$1,000,000.00","$14,575,193.00"
3918,64,English,"$3,000,000.00","$12,090,735.00"
3919,56,English,"$5,000,000.00","$12,534,961.00"
3920,68,German,-,"$810,455.00"
3922,57,English,-,-
3925,72,English,-,-
3926,57,English,"$1,580,000.00","$7,000,000.00"
3927,67,English,"$5,115,000.00","$12,000,000.00"
3928,71,English,"$800,000.00","$4,812,444.00"
3929,64,English,-,-
3930,68,English,-,"$1,300,000.00"
3932,75,English,"$328,000.00",-
3933,43,English,"$123,000.00","$1,000,000.00"
3937,55,English,"$8,000,000.00","$6,770,587.00"
3938,56,English,"$220,000.00","$3,600,000.00"
3939,51,English,-,-
3940,49,English,"$350,000.00","$1,242,995.00"
3941,48,English,-,-
3942,56,English,-,-
3943,62,English,"$10,000,000.00","$2,500,000.00"
3945,66,Japanese,"$5,500,000.00","$16,600,000.00"
3946,52,English,"$63,600,000.00","$19,412,993.00"
3947,70,English,"$1,814,462.00",-
3948,67,English,"$55,000,000.00","$330,444,045.00"
3949,80,English,"$4,500,000.00","$7,400,000.00"
3950,66,English,"$10,000,000.00","$148,701.00"
3951,64,English,-,-
3952,67,English,"$20,000,000.00","$22,428,990.00"
3953,49,English,"$23,000,000.00","$22,844,291.00"
3955,53,English,"$24,000,000.00","$13,700,000.00"
3957,60,English,"$800,000.00",-
3958,63,English,-,-
3959,74,English,"$750,000.00","$5,902.00"
3962,51,English,-,-
3963,56,English,-,-
3964,64,English,-,-
