movieId,user_score,language,budget,revenue
32917.0,69,Italian,-,-
33004.0,67,English,"$50,000,000.00","$104,500,000.00"
33085.0,61,English,"$19,000,000.00","$108,100,000.00"
33090.0,62,English,-,-
33124.0,70,German,"$4,500,000.00","$3,764,219.00"
33126.0,61,English,"$9,200,000.00","$9,300,000.00"
33132.0,58,English,-,"$1,691,706.00"
33138.0,62,English,-,"$809,686.00"
33145.0,68,English,"$30,000,000.00","$42,886,719.00"
33148.0,47,English,"$15,000,000.00","$4,139,856.00"
33154.0,72,English,-,-
33158.0,50,English,"$60,000,000.00","$71,100,000.00"
33162.0,69,English,"$130,000,000.00","$218,100,001.00"
33164.0,60,English,"$40,000,000.00","$68,766,121.00"
33166.0,72,English,"$6,500,000.00","$98,400,000.00"
33171.0,76,English,-,"$1,500,000.00"
33188.0,68,English,-,"$8,692,426.00"
33201.0,53,Castilian,-,"$3,470,643.00"
33237.0,66,English,"$1,300,000.00","$5,273,000.00"
33294.0,66,Japanese,-,-
33310.0,64,French,-,-
33312.0,65,English,"$500,000.00","$1,800,000.00"
33421.0,58,English,-,-
33435.0,78,English,-,-
33437.0,69,English,"$45,000,000.00","$50,871,113.00"
33493.0,74,English,"$113,000,000.00","$850,000,000.00"
33495.0,58,English,"$45,000,000.00","$56,070,433.00"
33499.0,62,English,"$43,000,000.00","$154,749,918.00"
33558.0,70,English,-,-
33564.0,79,Italian,-,-
33615.0,69,English,"$75,000,000.00","$542,100,000.00"
33629.0,59,English,"$2,600,000.00","$2,850,263.00"
33639.0,69,English,"$500,000.00","$9,400,000.00"
33644.0,54,English,"$30,000,000.00","$252,000.00"
33646.0,66,English,"$82,000,000.00","$190,300,000.00"
33649.0,73,English,"$2,500,000.00","$1,230,000.00"
33660.0,75,English,"$88,000,000.00","$108,539,911.00"
33669.0,65,English,"$25,000,000.00","$39,053,061.00"
33672.0,71,English,"$25,000,000.00","$13,400,000.00"
33677.0,62,English,-,-
33679.0,67,English,"$110,000,000.00","$487,300,000.00"
33681.0,52,English,"$50,000,000.00","$72,000,000.00"
33683.0,67,French,-,"$6,291,958.00"
33725.0,66,English,"$2,000,000.00","$120,620.00"
33779.0,78,English,-,-
33781.0,71,English,"$7,623,000.00","$21,037,000.00"
33794.0,77,English,"$150,000,000.00","$374,218,673.00"
33801.0,70,Japanese,"$19,500,000.00","$12,000,000.00"
33815.0,61,English,-,-
33826.0,68,English,-,"$489,389.00"
33830.0,57,English,"$50,000,000.00","$144,100,000.00"
33834.0,62,English,"$15,000,000.00","$47,074,133.00"
33836.0,51,English,"$85,000,000.00","$131,426,169.00"
33838.0,66,English,-,-
33880.0,70,English,-,-
33893.0,67,Castilian,"$6,000,000.00","$9,040,667.00"
33896.0,68,Korean,"$77,532.00","$516,930.00"
33903.0,72,German,-,-
33966.0,45,English,"$4,000,000.00","$40,700,000.00"
34018.0,63,English,-,-
34048.0,65,English,"$132,000,000.00","$603,873,119.00"
34072.0,70,French,"$8,000,000.00","$127,392,693.00"
34129.0,56,English,"$45,000,000.00","$16,809,014.00"
34143.0,56,English,"$30,000,000.00","$68,357,079.00"
34148.0,69,French,"$6,400,000.00","$9,293,785.00"
34150.0,58,English,"$100,000,000.00","$333,535,934.00"
34153.0,70,English,"$300,000.00","$1,750,211.00"
34162.0,65,English,"$40,000,000.00","$288,500,000.00"
34164.0,57,English,-,-
34271.0,71,English,"$8,000,000.00","$23,563,727.00"
34292.0,59,English,"$1,500,000.00","$5,728,953.00"
34312.0,56,English,-,-
34319.0,67,English,"$126,000,000.00","$162,949,164.00"
34321.0,59,English,"$30,000,000.00","$34,252,847.00"
34323.0,67,English,"$7,000,000.00","$20,901,859.00"
34326.0,56,English,"$5,000,000.00","$1,900,000.00"
34330.0,70,Castilian,-,"$959,831.00"
34332.0,62,English,"$35,000,000.00","$86,369,815.00"
34334.0,54,English,"$135,000,000.00","$76,932,943.00"
34336.0,59,English,"$30,000,000.00","$58,405,313.00"
34338.0,59,English,-,-
34359.0,63,English,-,-
34397.0,51,English,"$25,000,000.00",-
34405.0,74,English,"$39,000,000.00","$38,869,464.00"
34437.0,69,English,"$10,000,000.00","$46,720,491.00"
34450.0,71,Cantonese,-,"$34,036,029.00"
34482.0,76,English,-,-
34520.0,55,English,"$50,000,000.00","$110,803,676.00"
34523.0,65,English,"$6,800,000.00","$351,401.00"
34528.0,66,English,"$1,000,000.00",-
34530.0,53,English,"$22,000,000.00","$22,400,000.00"
34532.0,66,English,"$43,000,000.00","$93,983,911.00"
34534.0,68,English,"$45,000,000.00","$92,374,674.00"
34536.0,66,English,"$80,000,000.00","$10,166,502.00"
34540.0,58,English,-,-
34542.0,75,English,-,-
34800.0,57,English,-,"$331,816.00"
34811.0,72,Danish,-,-
35015.0,73,English,"$12,000,000.00","$995,000.00"
35347.0,70,English,"$350,000.00",-
35807.0,59,English,-,-
35836.0,64,English,"$26,000,000.00","$177,400,000.00"
35957.0,64,English,"$26,000,000.00","$57,891,803.00"
36276.0,71,French,"$8,731,048.00","$36,000,000.00"
36289.0,60,French,-,"$1,644,060.00"
36363.0,78,Russian,-,-
36397.0,55,English,"$35,000,000.00","$61,746,888.00"
36401.0,58,English,"$88,000,000.00","$105,300,000.00"
36477.0,62,English,-,-
36509.0,54,English,"$30,000,000.00","$33,296,457.00"
36517.0,70,English,"$25,000,000.00","$82,500,000.00"
36519.0,63,English,"$32,000,000.00","$89,100,000.00"
36525.0,69,English,"$58,000,000.00","$102,900,000.00"
36527.0,63,English,"$20,000,000.00","$7,535,331.00"
36529.0,73,English,"$50,000,000.00","$72,600,000.00"
36533.0,58,English,"$1,000,000.00","$10,047,674.00"
36535.0,72,English,"$7,000,000.00","$3,601,974.00"
36537.0,61,English,-,"$1,919,197.00"
36708.0,69,English,-,-
