movieId,user_score,language,budget,revenue
140711.0,61,English,"$28,000,000.00","$27,100,000.00"
140715.0,78,English,"$28,000,000.00","$201,600,000.00"
140725.0,59,English,"$5,000,000.00","$143,658.00"
140816.0,69,English,"$100,000.00","$925,000.00"
140850.0,61,English,-,"$103,536.00"
140852.0,56,Japanese,-,-
140928.0,65,English,"$60,000,000.00","$101,134,059.00"
140956.0,76,English,"$175,000,000.00","$607,274,134.00"
141004.0,59,English,"$40,000,000.00","$34,200,000.00"
141131.0,50,Russian,"$5,400,000.00","$4,803,565.00"
141400.0,63,Chinese,-,-
141408.0,65,English,"$15,000,000.00","$14,900,000.00"
141422.0,73,English,"$14,000,000.00","$16,002,420.00"
141513.0,53,English,-,-
141544.0,66,English,-,"$67,132.00"
141646.0,52,English,-,-
141668.0,78,English,"$3,000,000.00","$73,267,874.00"
141688.0,70,English,"$25,000,000.00","$42,972,994.00"
141718.0,63,English,-,-
141749.0,76,English,"$15,000,000.00","$64,200,000.00"
141799.0,59,English,-,"$581,011.00"
141810.0,73,Russian,-,-
141818.0,75,Russian,-,-
141820.0,73,Russian,-,-
141830.0,73,Russian,-,-
141836.0,72,Russian,-,-
141844.0,76,Russian,-,-
141846.0,65,English,-,"$494,506.00"
141866.0,67,English,"$5,000,000.00","$3,800,000.00"
141890.0,76,English,"$6,000,000.00","$9,077,700.00"
141928.0,55,English,-,-
141994.0,18,English,"$500,000.00","$2,800,000.00"
142020.0,73,French,-,-
142056.0,57,English,-,-
142074.0,54,English,"$10,000,000.00","$6,341,684.00"
142196.0,43,English,-,-
142222.0,68,English,"$10,000,000.00","$4,366,460.00"
142366.0,74,English,-,-
142372.0,58,English,"$28,000,000.00","$7,002,261.00"
142420.0,56,English,-,"$4,289,074.00"
142422.0,61,English,"$25,000,000.00","$52,395,996.00"
142424.0,59,English,-,"$9,995.00"
142444.0,56,English,-,-
142448.0,68,English,"$55,000,000.00","$203,427,584.00"
142456.0,67,French,"$8,700,000.00","$15,709,652.00"
142488.0,78,English,"$20,000,000.00","$98,700,000.00"
142507.0,68,English,"$19,000,000.00","$5,600,000.00"
142509.0,64,English,"$2,000,000.00","$14,333,790.00"
142536.0,65,English,"$20,000,000.00","$36,606,743.00"
142550.0,63,Japanese,-,"$11,757,243.00"
142558.0,58,French,-,-
142598.0,62,English,-,-
142602.0,64,German,-,"$83,027,924.00"
142831.0,57,Hindi,-,-
142961.0,71,German,-,-
142997.0,68,English,"$80,000,000.00","$473,200,000.00"
143001.0,55,English,-,-
143031.0,64,English,-,-
143245.0,76,English,"$64,000,000.00","$97,571,250.00"
143255.0,46,English,"$1,500,000.00",-
143257.0,62,English,-,"$4,631.00"
143355.0,72,English,"$149,000,000.00","$822,854,286.00"
143365.0,55,English,"$18,000,000.00","$40,651,864.00"
143367.0,71,English,"$46,000,000.00","$23,700,000.00"
143385.0,72,English,"$40,000,000.00","$165,478,348.00"
143410.0,67,English,-,"$87,768.00"
143458.0,66,Chinese,-,-
143472.0,54,English,"$10,000,000.00",-
143511.0,85,French,"$15,483,821.00",-
143525.0,66,Japanese,-,-
143559.0,50,English,-,-
143859.0,59,English,"$22,000,000.00","$63,647,656.00"
143896.0,71,English,-,-
143969.0,68,German,"$3,196,621.00","$25,513,752.00"
144210.0,68,English,-,-
144222.0,62,Flemish,-,-
144262.0,58,English,-,-
144352.0,70,Japanese,-,-
144478.0,65,Danish,-,-
144522.0,63,Japanese,-,"$1,831,166.00"
144606.0,67,English,"$30,000,000.00","$33,013,805.00"
144620.0,63,English,"$58,000,000.00","$158,200,000.00"
144714.0,57,English,"$12,000,000.00","$60,273,173.00"
144716.0,54,English,"$15,000,000.00","$3,020,664.00"
144734.0,61,English,-,"$70,958.00"
144976.0,68,English,"$1,800,000.00","$475,846.00"
145080.0,64,English,-,-
145150.0,70,English,"$11,930,000.00","$25,003,426.00"
145283.0,74,German,-,-
145418.0,72,English,"$15,000,000.00","$8,235,661.00"
145491.0,60,English,"$2,200,000.00",-
145724.0,47,English,-,-
145745.0,28,English,-,-
145839.0,71,English,"$35,000,000.00","$50,400,000.00"
